Setup,Operation,Strategy,Tool,RPM,Feed,CuttingSpeed,DepthOfCut,StepOver,StepDown
Barrel-Flange,bottom (12),face,#23 - Ø80mm face,2000 rpm,4000 mm/min,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,Drill1 (15),drill,#2 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,Drill1 (25),drill,#7 - Ø8mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,Drill1 (16),drill,#3 - Ø6x1mm right tap,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,Drill1 (17),drill,#4 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,2D Pocket3,pocket2d,#6 - Ø8mm flat (3mm Flat Endmill),8042.54 rpm,494.9638857347332,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,2.91817517655654,36.
Barrel-Flange,Drill1 (18),drill,#6 - Ø8mm drill,4158.03657037797439,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,2D Pocket3 (3),pocket2d,#6 - Ø7.7mm flat (3mm Flat Endmill),6042.54 rpm,631.69152347516933,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.75226885299131,36.
Barrel-Flange,2D Pocket2 (8),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),8042.54 rpm,1550.341 mm/min,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Barrel-Flange,2D Contour12,contour2d,#27 - Ø14mm flat (14mm Flat Endmill),8042.54 rpm,631.69152347516933,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,1.75226885299131,36.
Barrel-Flange,Drill1 (26),drill,#15 - Ø7mm drill (chamfer),1247.41 rpm,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange,2D Chamfer1 (3),chamfer2d,#15 - Ø12.45mm 90° countersink (10MM Counter Sink),3500 rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Back,Probe WCS1 (4),probe,#100 - Ø6mm probe (TS640 50x6),,1000mmpm,,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Back,2D Pocket2 (10),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),8042.54 rpm,1550.341 mm/min,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Barrel-Flange-Back,Drill1 (32),drill,#15 - Ø7mm drill (chamfer),1247.41 rpm,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Back,2D Chamfer1 (4),chamfer2d,#15 - Ø12.45mm 90° countersink (10MM Counter Sink),3500 rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Stock,Probe WCS1 (3),probe,#1 - Ø6mm probe (TS640 50x6),,1000mmpm,,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Stock,bottom (10),face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Stock,bottom (11),face,#23 - Ø80mm face,tool_type == 'probe' ? 0 : tool_type == 'tap right hand' || tool_type == 'tap left hand' ? 500rpm : 5000rpm,1000.,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Bottom,Drill1 (21),drill,#4 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Bottom,Drill1 (22),drill,#7 - Ø6x1mm right tap,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Bottom,Drill1 (23),drill,#4 - Ø7mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Bottom,Drill1 (24),drill,#5 - Ø8mm drill,1247.41097111339286,1000mmpm,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,tool_diameter * 0.5,1.0mm
Barrel-Flange-Bottom,2D Pocket2 (9),pocket2d,#27 - Ø14mm flat (14mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
Barrel-Flange-Bottom,2D Pocket3 (2),pocket2d,#3 - Ø6mm flat (3mm Flat Endmill),4042.53555453414265,550.34103829819799,tool_diameter * Math.PI * tool_spindleSpeed,tool_fluteLength / 2,12.,4.05680655897394
